horizon_label,horizon_minutes,rmse_x_error,mae_x_error,bias_x_error,std_x_error,rmse_y_error,mae_y_error,bias_y_error,std_y_error,rmse_z_error,mae_z_error,bias_z_error,std_z_error,rmse_satclockerror,mae_satclockerror,bias_satclockerror,std_satclockerror
15min,15,0.720185380615956,0.5292774054034298,-0.034808167672693464,0.7193437105558226,0.877279856828553,0.5069434787999175,-0.04585724712594467,0.8760805100463979,0.4914055512727699,0.32079912691455476,-0.06559203739093049,0.487008316615437,0.5670103880000641,0.43340095380935423,0.008576493992493788,0.5669455210606923
30min,30,0.7312363696929782,0.5454751899474403,-0.002109819488354903,0.7312333259798082,0.9182913688518851,0.5424594806833022,-0.04818805617995963,0.9170261443107638,0.5257171820281541,0.3488519259225838,-0.04387088536443186,0.5238834802672863,0.5620500251569186,0.422312132508721,-0.006053446524805652,0.5620174254985908
45min,45,0.7470140359616781,0.5527000692474504,-0.009019436013986233,0.7469595837110231,0.9325153960984688,0.5662323656299088,-0.056782353004593875,0.9307850065122159,0.527145919488751,0.34426925062503005,-0.05278763511732363,0.5244962211611834,0.5841837834355763,0.4342059845870905,0.0023376772682160846,0.5841791061772871
1h,60,0.7654714420131241,0.571258848620065,-0.0005411955805459053,0.765471250697892,0.9416763140227188,0.5600856940190168,-0.032410328044203414,0.9411184043612584,0.5541548783069159,0.36683420557061963,-0.03611626487669668,0.5529767124958419,0.5922894222506401,0.44339542476652766,-0.016059647376113245,0.5920716573491352
2h,120,0.8608293594444552,0.6480295140847269,0.024487164644362045,0.8604810078376112,1.0448903397448088,0.6636827387938331,-0.008049447126451337,1.0448593343091597,0.5727792699445335,0.36784114519257366,-0.037610578001568626,0.5715431186713569,0.596898244772995,0.4442969992488001,-0.037524308761728555,0.5957175848210599
3h,180,0.8679838979356843,0.643676481059564,0.05133516157254742,0.8664645106765452,1.096952328618097,0.7265421002155225,0.0181054711732436,1.0968029007867643,0.7219525903906261,0.5043335873536365,0.0016665598813472154,0.7219506668394297,0.5989367421849452,0.44827155172133637,-0.04809292487693918,0.59700275687462
6h,360,0.9621032094511279,0.7209186867734265,0.046549541261651554,0.9609764439592111,1.1001231066447967,0.7188320602561322,0.02440570008943855,1.0998523589904887,0.6541570886002736,0.43613607470528215,0.08464350106901955,0.6486578252767518,0.5640977765034078,0.42415235007543206,-0.07377042119196772,0.5592532757286703
12h,720,0.7949279250924374,0.5713370723769602,0.0150987469032524,0.7947845204416849,0.9285520895190906,0.6166234827548488,0.04778337027674189,0.927321806319287,0.6784979346463632,0.4818857397690011,0.028341680843332436,0.6779057430398087,0.6167931383887554,0.4894375787926662,0.06695621009072363,0.6131481399252037
24h,1440,0.8663532662479803,0.6383682700257752,-0.0440526054077271,0.8652325409364438,1.075173501508211,0.7389345793564067,0.01284465528979843,1.0750967738654569,0.8745736403652954,0.6512827413968577,0.006180211215086622,0.8745518037321414,0.7445560638123382,0.5703425334847924,0.13050421819679842,0.7330295909392506
